pipe_id,latitude,longitude
1,35.03479272,-89.83386821
2,35.02229126,-89.86719198
3,35.01225859,-89.75901449
4,35.01453146,-90.06082457
5,35.01788167,-89.96969058
6,35.0351682,-90.0195148
7,35.05601879,-90.12137372
8,35.05525717,-89.89127684
9,35.0809363,-89.85544662
10,35.06742168,-89.77154808
11,35.08043832,-90.02819821
12,35.10471088,-90.04810546
13,35.10056559,-90.00442065
14,35.11279109,-90.02497542
15,35.08472836,-89.92624445
16,35.10875957,-89.95758865
17,35.10727221,-89.89715128
18,35.12265584,-89.97750622
19,35.12911745,-89.94411664
20,35.14192127,-89.65121353
21,35.16033942,-89.69507221
22,35.19451806,-89.64787056
23,35.15443467,-90.02507623
24,35.1402607,-90.02034736
25,35.14982759,-89.98382848
26,35.19213792,-89.99752082
27,35.19299935,-89.81446417
28,35.14038277,-89.87559626
29,35.15556179,-89.82374243
30,35.16625223,-89.90729678
31,35.20257974,-89.84960956
32,35.17100355,-89.78137928
33,35.18186487,-89.75745223
34,35.20330418,-89.71332295
35,35.19058594,-89.95851611
36,35.23546949,-89.96768388
37,35.22369103,-89.90568427
38,35.25200819,-89.94087833
39,35.31888977,-89.72951235
40,35.33151742,-89.72656413
41,35.35249615,-89.68159745
42,35.29699295,-90.04214213
43,35.35053308,-89.9981018
44,35.37644362,-89.78135635
45,35.3552015,-89.74718111
46,35.38153279,-89.7061094
47,35.36085419,-89.8222514
48,35.36999809,-89.86902836
49,35.03921935,-89.92720797
50,35.05631309,-89.95747824
51,35.06299904,-90.00574865
52,35.08578379,-89.97976498
53,35.07076386,-90.08589118
54,35.13315851,-90.04942138
55,35.11498823,-89.69351396
56,35.12584541,-89.76037171
57,35.142764,-89.74478127
58,35.19661565,-90.02944432
59,35.24939376,-89.68553118
60,35.23657696,-89.99361145
61,35.24704687,-90.01584509
62,35.27132308,-89.98251465
63,35.32523988,-89.7618019
64,35.2959733,-89.87503508
65,35.35119122,-89.93473069
66,35.36255542,-89.95323929
67,35.35509262,-89.91303653
68,35.36625456,-89.93156515
69,35.37734459,-89.95051003
70,35.37527357,-89.91195767
71,35.38462764,-89.9315179
